levelKerawanan,jumlah_penduduk,total,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
1,145577,64,320410,Margaasih,KAB. BANDUNG,JAWA BARAT
1,88953,39,140316,Bathin Solapan,KAB. BENGKALIS,RIAU
1,74059,32,520108,Labuapi,KAB. LOMBOK BARAT,NUSA TENGGARA BARAT
1,129820,56,217112,Batu Aji,KOTA BATAM,KEPULAUAN RIAU
1,23386,10,321124,Tomo,KAB. SUMEDANG,JAWA BARAT
1,28151,12,320934,Karangwareng,KAB. CIREBON,JAWA BARAT
1,66247,28,331220,Jatisrono,KAB. WONOGIRI,JAWA TENGAH
1,52692,22,352007,Plaosan,KAB. MAGETAN,JAWA TIMUR
1,77382,32,330216,Pekuncen,KAB. BANYUMAS,JAWA TENGAH
1,60936,25,140313,Pinggir,KAB. BENGKALIS,RIAU
1,88759,36,120728,Lubuk Pakam,KAB. DELI SERDANG,SUMATERA UTARA
1,27361,11,757106,Kota Tengah,KOTA GORONTALO,GORONTALO
1,57326,23,331518,Tegowanu,KAB. GROBOGAN,JAWA TENGAH
1,43195,17,320808,Garawangi,KAB. KUNINGAN,JAWA BARAT
1,91811,36,520109,Gunungsari,KAB. LOMBOK BARAT,NUSA TENGGARA BARAT
1,81975,32,320128,Cijeruk,KAB. BOGOR,JAWA BARAT
1,10280,4,620606,Sanaman Mantikei,KAB. KATINGAN,KALIMANTAN TENGAH
1,141480,55,360311,Rajeg,KAB. TANGERANG,BANTEN
1,12888,5,720608,Bungku Barat,KAB. MOROWALI,SULAWESI TENGAH
1,15494,6,750118,Tilango,KAB. GORONTALO,GORONTALO
1,5178,2,740221,Bondoala,KAB. KONAWE,SULAWESI TENGGARA
1,77851,30,351611,Puri,KAB. MOJOKERTO,JAWA TIMUR
1,44381,17,352409,Sekaran,KAB. LAMONGAN,JAWA TIMUR
1,47110,18,330806,Dukun,KAB. MAGELANG,JAWA TENGAH
1,47630,18,330526,Karangsambung,KAB. KEBUMEN,JAWA TENGAH
1,34519,13,350612,Gampengrejo,KAB. KEDIRI,JAWA TIMUR
1,21283,8,197102,Taman Sari,KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
1,58859,22,187106,Tanjungkarang Pusat,KOTA BANDAR LAMPUNG,LAMPUNG
1,16055,6,737303,Wara Selatan,KOTA PALOPO,SULAWESI SELATAN
1,50963,19,352507,Ujungpangkah,KAB. GRESIK,JAWA TIMUR
1,51063,19,352503,Panceng,KAB. GRESIK,JAWA TIMUR
1,70495,26,330518,Sempor,KAB. KEBUMEN,JAWA TENGAH
1,57175,21,330306,Kalimanah,KAB. PURBALINGGA,JAWA TENGAH
1,13699,5,732409,Tomoni Timur,KAB. LUWU TIMUR,SULAWESI SELATAN
1,38724,14,197104,Rangkui,KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
1,27672,10,140803,Minas,KAB. SIAK,RIAU
1,123470,44,351511,Krian,KAB. SIDOARJO,JAWA TIMUR
1,31132,11,717204,Aertembaga,KOTA BITUNG,SULAWESI UTARA
1,57041,20,357701,Kartoharjo,KOTA MADIUN,JAWA TIMUR
1,74241,26,352407,Brondong,KAB. LAMONGAN,JAWA TIMUR
1,20171,7,141002,Rangsang Barat,KAB. KEPULAUAN MERANTI,RIAU
1,86987,30,360330,Sepatan Timur,KAB. TANGERANG,BANTEN
1,72634,25,350902,Kencong,KAB. JEMBER,JAWA TIMUR
1,34925,12,320235,Cireunghas,KAB. SUKABUMI,JAWA BARAT
1,184355,63,321701,Lembang,KAB. BANDUNG BARAT,JAWA BARAT
1,114199,39,127118,Medan Perjuangan,KOTA MEDAN,SUMATERA UTARA
1,61546,21,332901,Salem,KAB. BREBES,JAWA TENGAH
1,67441,23,332905,Sirampog,KAB. BREBES,JAWA TENGAH
1,11772,4,170902,Talang Empat,KAB. BENGKULU TENGAH,BENGKULU
1,79600,27,360331,Solear,KAB. TANGERANG,BANTEN
1,50260,17,332108,Gajah,KAB. DEMAK,JAWA TENGAH
1,53735,18,520801,Tanjung,KAB. LOMBOK UTARA,NUSA TENGGARA BARAT
1,32841,11,730903,Bantimurung,KAB. MAROS,SULAWESI SELATAN
1,80667,27,350927,Kalisat,KAB. JEMBER,JAWA TIMUR
1,15140,5,820306,Tobelo Selatan,KAB. HALMAHERA UTARA,MALUKU UTARA
1,69730,23,332202,Tengaran,KAB. SEMARANG,JAWA TENGAH
1,9137,3,110213,Deleng Pokhkisen,KAB. ACEH TENGGARA,ACEH
1,55234,18,717103,Singkil,KOTA MANADO,SULAWESI UTARA
1,42991,14,331215,Jatiroto,KAB. WONOGIRI,JAWA TENGAH
1,58687,19,320920,Kedawung,KAB. CIREBON,JAWA BARAT
1,52527,17,351617,Dawarblandong,KAB. MOJOKERTO,JAWA TIMUR
1,15569,5,710313,Manganitu,KAB. KEPULAUAN SANGIHE,SULAWESI UTARA
1,22052,7,120307,Batang Angkola,KAB. TAPANULI SELATAN,SUMATERA UTARA
1,126378,40,332917,Banjarharjo,KAB. BREBES,JAWA TENGAH
1,91892,29,332102,Karangawen,KAB. DEMAK,JAWA TENGAH
1,70068,22,331819,Tayu,KAB. PATI,JAWA TENGAH
1,60906,19,332013,Kalinyamatan,KAB. JEPARA,JAWA TENGAH
1,64186,20,717107,Wanea,KOTA MANADO,SULAWESI UTARA
1,109803,34,330810,Mertoyudan,KAB. MAGELANG,JAWA TENGAH
1,35556,11,717104,Wenang,KOTA MANADO,SULAWESI UTARA
1,58247,18,320140,Tenjolaya,KAB. BOGOR,JAWA BARAT
1,39085,12,330918,Wonosegoro,KAB. BOYOLALI,JAWA TENGAH
1,22915,7,320823,Japara,KAB. KUNINGAN,JAWA BARAT
1,68910,21,330203,Jatilawang,KAB. BANYUMAS,JAWA TENGAH
1,65750,20,352501,Dukun,KAB. GRESIK,JAWA TIMUR
1,59330,18,647201,Palaran,KOTA SAMARINDA,KALIMANTAN TIMUR
1,16516,5,320534,Pamulihan,KAB. GARUT,JAWA BARAT
1,59551,18,351614,Gedeg,KAB. MOJOKERTO,JAWA TIMUR
1,63914,19,330405,Bawang,KAB. BANJARNEGARA,JAWA TENGAH
1,43770,13,350502,Udanawu,KAB. BLITAR,JAWA TIMUR
1,54116,16,320907,Lemahabang,KAB. CIREBON,JAWA BARAT
1,57597,17,120811,Tanah Jawa,KAB. SIMALUNGUN,SUMATERA UTARA
1,17075,5,630407,Rantau Badauh,KAB. BARITO KUALA,KALIMANTAN SELATAN
1,54853,16,350519,Kesamben,KAB. BLITAR,JAWA TIMUR
1,24035,7,160314,Lubai,KAB. MUARA ENIM,SUMATERA SELATAN
1,37795,11,150505,Mestong,KAB. MUARO JAMBI,JAMBI
1,68868,20,350511,Garum,KAB. BLITAR,JAWA TIMUR
1,59136,17,352313,Merakurak,KAB. TUBAN,JAWA TIMUR
1,27908,8,732206,Sukamaju,KAB. LUWU UTARA,SULAWESI SELATAN
1,52526,15,350512,Sutojayan,KAB. BLITAR,JAWA TIMUR
1,126347,36,330217,Cilongok,KAB. BANYUMAS,JAWA TENGAH
1,70697,20,617201,Singkawang Tengah,KOTA SINGKAWANG,KALIMANTAN BARAT
1,28967,8,352018,Sidorejo,KAB. MAGETAN,JAWA TIMUR
1,101753,28,910401,Nabire,KAB. NABIRE,P A P U A
1,51076,14,352216,Kalitidu,KAB. BOJONEGORO,JAWA TIMUR
1,65725,18,360201,Malingping,KAB. LEBAK,BANTEN
1,7382,2,120815,Haranggaol Horison,KAB. SIMALUNGUN,SUMATERA UTARA
1,22249,6,330523,Bonorowo,KAB. KEBUMEN,JAWA TENGAH
1,78389,21,827102,Kota Ternate Selatan,KOTA TERNATE,MALUKU UTARA
1,14993,4,711102,Posigadan,KAB. BOLAANG MONGONDOW SELATAN,SULAWESI UTARA
1,29990,8,340311,Rongkop,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
1,22523,6,732401,Mangkutana,KAB. LUWU TIMUR,SULAWESI SELATAN
1,22523,6,927107,Sorong Kota,KOTA SORONG,PAPUA BARAT
1,49073,13,330805,Srumbung,KAB. MAGELANG,JAWA TENGAH
1,49188,13,330116,Dayeuhluhur,KAB. CILACAP,JAWA TENGAH
1,53261,14,520114,Batu Layar,KAB. LOMBOK BARAT,NUSA TENGGARA BARAT
1,57369,15,351609,Dlanggu,KAB. MOJOKERTO,JAWA TIMUR
1,45908,12,321402,Campaka,KAB. PURWAKARTA,JAWA BARAT
1,91917,24,120721,Patumbak,KAB. DELI SERDANG,SUMATERA UTARA
1,42602,11,177109,Singaran Pati,KOTA BENGKULU,BENGKULU
1,23765,6,731819,Gandangbatu Sillanan,KAB. TANA TORAJA,SULAWESI SELATAN
1,43729,11,167201,Pagar Alam Utara,KOTA PAGAR ALAM,SUMATERA SELATAN
1,11991,3,351119,Sempol,KAB. BONDOWOSO,JAWA TIMUR
1,20032,5,920701,Wasior,KAB. TELUK WONDAMA,PAPUA BARAT
1,81102,20,351006,Cluring,KAB. BANYUWANGI,JAWA TIMUR
1,69260,17,320928,Gegesik,KAB. CIREBON,JAWA BARAT
1,57055,14,360310,Sukadiri,KAB. TANGERANG,BANTEN
1,78493,19,352901,Kota Sumenep,KAB. SUMENEP,JAWA TIMUR
1,50040,12,350817,Jatiroto,KAB. LUMAJANG,JAWA TIMUR
1,54236,13,330508,Mirit,KAB. KEBUMEN,JAWA TENGAH
1,46005,11,350924,Pakusari,KAB. JEMBER,JAWA TIMUR
