nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
DAERAH ISTIMEWA YOGYAKARTA,34,347114,Kotagede,34.71,KOTA YOGYAKARTA,34311,59,0.0017195651540322346,2
KALIMANTAN TENGAH,62,620301,Selat,62.03,KAB. KAPUAS,71336,122,0.0017102164405068969,2
RIAU,14,147108,Tampan,14.71,KOTA PEKANBARU,184111,313,0.0017000613760177283,2
SULAWESI SELATAN,73,737103,Makassar,73.71,KOTA MAKASSAR,86479,147,0.0016998346419361927,2
DKI JAKARTA,31,317402,Setiabudi,31.74,KOTA ADM. JAKARTA SELATAN,117667,200,0.0016997118988331477,2
JAWA BARAT,32,327105,Bogor Utara,32.71,KOTA BOGOR,187917,319,0.0016975579644204623,2
JAWA BARAT,32,321618,Setu,32.16,KAB. BEKASI,129661,220,0.001696732247938856,2
JAMBI,15,157107,Kota Baru,15.71,KOTA JAMBI,79712,135,0.0016935969490164593,2
SULAWESI SELATAN,73,737104,Ujung Pandang,73.71,KOTA MAKASSAR,25982,44,0.001693480101608806,2
KEPULAUAN BANGKA BELITUNG,19,190203,Selat Nasik,19.02,KAB. BELITUNG,5911,10,0.001691761123329386,2
BANTEN,36,367405,Ciputat Timur,36.74,KOTA TANGERANG SELATAN,159933,270,0.001688206936654724,2
JAWA BARAT,32,327508,Pondokgede,32.75,KOTA BEKASI,228326,385,0.0016861855417254277,2
DKI JAKARTA,31,317508,Makasar,31.75,KOTA ADM. JAKARTA TIMUR,222139,374,0.0016836305196296013,2
DAERAH ISTIMEWA YOGYAKARTA,34,340301,Wonosari,34.03,KAB. GUNUNGKIDUL,88058,148,0.0016807104408458062,2
BANTEN,36,360328,Kelapa Dua,36.03,KAB. TANGERANG,151513,254,0.0016764238052180342,2
DKI JAKARTA,31,317305,Kebon Jeruk,31.73,KOTA ADM. JAKARTA BARAT,357745,598,0.0016715817132314918,2
PAPUA BARAT,92,920501,Misool (Misool Utara),92.05,KAB. RAJA AMPAT,2397,4,0.001668752607425949,2
JAWA TIMUR,35,357828,Asem Rowo,35.78,KOTA SURABAYA,45597,76,0.0016667763230037065,2
DAERAH ISTIMEWA YOGYAKARTA,34,347108,Mantrijeron,34.71,KOTA YOGYAKARTA,35433,59,0.0016651144413399937,2
DAERAH ISTIMEWA YOGYAKARTA,34,340403,Moyudan,34.04,KAB. SLEMAN,33676,56,0.0016629053331749615,2
BALI,51,510306,Kuta Utara,51.03,KAB. BADUNG,81250,135,0.0016615384615384615,2
JAWA BARAT,32,321608,Cikarang Barat,32.16,KAB. BEKASI,181904,302,0.0016602163778696455,2
GORONTALO,75,750409,Buntulia,75.04,KAB. PAHUWATO,12077,20,0.0016560404073859402,2
DAERAH ISTIMEWA YOGYAKARTA,34,347112,Mergangsan,34.71,KOTA YOGYAKARTA,32043,53,0.0016540274006803359,2
KALIMANTAN BARAT,61,617101,Pontianak Selatan,61.71,KOTA PONTIANAK,93250,154,0.0016514745308310991,2
DKI JAKARTA,31,317404,Pasar Minggu,31.74,KOTA ADM. JAKARTA SELATAN,328407,540,0.0016443011263462715,2
JAWA TIMUR,35,357827,Sukomanunggal,35.78,KOTA SURABAYA,102998,169,0.0016408085593895027,2
NUSA TENGGARA BARAT,52,527103,Cakranegara,52.71,KOTA MATARAM,69735,114,0.0016347601634760164,2
JAWA BARAT,32,327605,Sukmajaya,32.76,KOTA DEPOK,248015,404,0.001628933733846743,2
JAWA BARAT,32,327504,Bekasi Selatan,32.75,KOTA BEKASI,211436,344,0.001626969863221022,2
KALIMANTAN TENGAH,62,627102,Bukit Batu,62.71,KOTA PALANGKARAYA,12913,21,0.001626268101912801,2
JAWA BARAT,32,327506,Medansatria,32.75,KOTA BEKASI,157676,256,0.0016235825363403434,2
SULAWESI SELATAN,73,730901,Mandai,73.09,KAB. MAROS,49281,80,0.001623343682149307,2
