levelKerawanan,jumlah_penduduk,total,density,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
2,55233,62,0.001123,350614,Papar,KAB. KEDIRI,JAWA TIMUR
2,97186,109,0.001122,321611,Cikarang Timur,KAB. BEKASI,JAWA BARAT
2,90976,102,0.001121,327604,Limo,KOTA DEPOK,JAWA BARAT
2,39277,44,0.001120,327328,Panyileukan,KOTA BANDUNG,JAWA BARAT
2,40203,45,0.001119,532101,Malaka Tengah,KAB. MALAKA,NUSA TENGGARA TIMUR
2,53622,60,0.001119,327308,Cidadap,KOTA BANDUNG,JAWA BARAT
2,111743,125,0.001119,320114,Leuwiliang,KAB. BOGOR,JAWA BARAT
2,105706,118,0.001116,917102,Jayapura Selatan,KOTA JAYAPURA,PAPUA
2,99807,111,0.001112,340215,Sewon,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,95337,106,0.001112,147111,Payung Sekaki,KOTA PEKANBARU,RIAU
2,67741,75,0.001107,350714,Bululawang,KAB. MALANG,JAWA TIMUR
2,19891,22,0.001106,347105,Gedongtengen,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,127202,140,0.001101,327512,Pondokmelati,KOTA BEKASI,JAWA BARAT
2,2727,3,0.001100,620908,Batang Kawa,KAB. LAMANDAU,KALIMANTAN TENGAH
2,52824,58,0.001098,331001,Prambanan,KAB. KLATEN,JAWA TENGAH
2,18223,20,0.001098,120816,Girsang Sipangan Bolon,KAB. SIMALUNGUN,SUMATERA UTARA
2,154070,169,0.001097,510806,Buleleng,KAB. BULELENG,BALI
2,70215,77,0.001097,160307,Lawang Kidul,KAB. MUARA ENIM,SUMATERA SELATAN
2,31959,35,0.001095,747107,Wua-Wua,KOTA KENDARI,SULAWESI TENGGARA
2,25694,28,0.001090,730701,Sinjai Barat,KAB. SINJAI,SULAWESI SELATAN
2,12860,14,0.001089,750410,Duhiadaa,KAB. PAHUWATO,GORONTALO
2,133311,145,0.001088,127102,Medan Sunggal,KOTA MEDAN,SUMATERA UTARA
2,78294,85,0.001086,367104,Benda,KOTA TANGERANG,BANTEN
