nama_provinsi,kode_provinsi,nama_kabupatenkota,kode_kabupatenkota,nama_kecamatan,kode_kecamatan,jumlah_penduduk,total,density,level_kerawanan
KALIMANTAN TENGAH,62,KAB. KATINGAN,62.06,Katingan Hilir,620602,38279,34,0.0008882154706235795,2
SUMATERA BARAT,13,KOTA PADANG,13.71,Bungus Teluk Kabung,137105,27067,24,0.0008866885875789707,2
JAMBI,15,KAB. TEBO,15.09,Tebo Tengah,150901,38384,34,0.000885785744060025,2
JAWA BARAT,32,KAB. BOGOR,32.01,Jonggol,320106,124192,110,0.0008857253285235764,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Sedayu,340217,47646,42,0.0008815010703941569,2
KALIMANTAN TIMUR,64,KAB. KUTAI BARAT,64.07,Melak,640706,14751,13,0.0008812961833096062,2
JAWA BARAT,32,KOTA SUKABUMI,32.72,Gunungpuyuh,327201,49165,43,0.0008746059188447066,2
MALUKU UTARA,82,KAB. PULAU MOROTAI,82.07,Morotai Selatan,820701,28722,25,0.0008704129238910939,2
JAWA TIMUR,35,KOTA MOJOKERTO,35.76,Prajuritkulon,357601,41660,36,0.0008641382621219395,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Kenjeran,357817,168977,146,0.0008640229143611261,2
KALIMANTAN TIMUR,64,KAB. KUTAI TIMUR,64.08,Muara Wahau,640802,30097,26,0.0008638734757617038,2
JAWA BARAT,32,KAB. SUKABUMI,32.02,Cibadak,320211,118284,102,0.0008623313381353353,2
KALIMANTAN SELATAN,63,KAB. BARITO KUALA,63.04,Barambai,630414,16247,14,0.0008616975441619991,2
BANTEN,36,KAB. TANGERANG,36.03,Cikupa,360318,189643,163,0.0008595097103505007,2
SUMATERA UTARA,12,KOTA TEBING TINGGI,12.76,Tebing Tinggi Kota,127605,25653,22,0.0008575995010330176,2
SUMATERA SELATAN,16,KOTA PALEMBANG,16.71,Seberang Ulu I,167102,89871,77,0.0008567836120661837,2
JAWA BARAT,32,KAB. BOGOR,32.01,Parung,320110,107400,92,0.000856610800744879,2
SULAWESI UTARA,71,KAB. MINAHASA SELATAN,71.05,Amurang,710510,18685,16,0.0008563018464008563,2
JAWA BARAT,32,KAB. BEKASI,32.16,Kedung Waringin,321612,65421,56,0.0008559942526100182,2
JAWA TIMUR,35,KOTA MALANG,35.73,Klojen,357302,101852,87,0.0008541805757373444,2
JAMBI,15,KAB. MERANGIN,15.02,Nalo Tatan,150211,16393,14,0.0008540230586225828,2
SULAWESI SELATAN,73,KAB. GOWA,73.06,Palangga,730607,123040,105,0.0008533810143042913,2
KEPULAUAN RIAU,21,KAB. BINTAN,21.01,Tambelan,210109,4688,4,0.0008532423208191126,2
